step,active_vehicles,total_system_wait
0,1,0.0
10,4,0.0
20,7,0.0
30,11,0.0
40,14,0.0
50,17,0.0
60,19,0.0
70,21,0.0
80,21,0.0
90,24,0.0
100,26,0.0
110,26,0.0
120,26,0.5
130,26,0.5
140,28,0.6
150,25,0.5
160,26,0.5
170,26,0.5
180,28,0.6
190,30,0.6
200,31,0.3
210,32,0.3
220,33,0.3
230,34,0.3
240,34,0.3
250,33,0.7
260,31,0.6
270,32,0.6
280,32,0.6
290,32,0.6
300,31,0.6
310,30,0.6
320,29,0.6
330,29,0.6
340,27,0.5
350,28,0.6
360,31,0.6
370,31,0.6
380,26,0.5
390,27,0.5
400,27,0.3
410,28,0.3
420,27,0.3
430,26,0.3
440,27,1.4
450,30,1.5
460,30,1.5
470,30,1.2
480,31,1.2
490,29,1.2
500,30,1.2
510,32,1.3
520,35,1.4
530,33,1.3
540,36,1.4
550,32,1.3
560,28,1.1
570,25,1.0
580,26,1.0
590,26,1.0
600,27,0.8
610,29,0.9
620,30,0.9
630,29,0.9
640,29,0.9
650,29,0.9
660,28,0.8
670,29,0.9
680,31,0.9
690,33,1.0
700,31,0.9
710,27,0.8
720,26,0.8
730,25,0.8
740,25,0.8
750,26,0.8
760,26,0.8
770,24,0.7
780,24,0.7
790,25,0.8
800,26,1.0
810,27,1.1
820,27,1.1
830,26,1.0
840,29,1.2
850,30,1.2
860,31,1.2
870,32,1.3
880,32,1.3
890,31,1.2
900,32,1.3
910,33,1.3
920,34,1.4
930,36,1.4
940,36,1.4
950,37,1.5
960,38,1.5
970,36,1.4
980,32,1.3
990,31,1.2
1000,30,1.2
1010,27,1.1
1020,23,0.9
1030,20,0.8
1040,19,0.8
1050,13,0.5
1060,10,0.4
1070,10,0.4
1080,9,0.4
1090,8,0.3
1100,6,0.2
1110,5,0.2
1120,3,0.1
1130,1,0.0
