step,active_vehicles,total_system_wait
0,1,0.0
10,8,6.0
20,15,13.1
30,21,17.2
40,28,23.2
50,31,25.7
60,38,37.2
70,43,40.4
80,47,43.7
90,53,48.8
100,56,52.1
110,61,57.9
120,62,57.7
130,64,58.9
140,70,63.7
150,69,62.8
160,67,60.3
170,70,62.3
180,71,64.6
190,71,63.9
200,73,65.7
210,68,60.5
220,69,67.6
230,72,70.6
240,71,68.9
250,70,67.9
260,71,68.2
270,73,70.1
280,74,70.3
290,68,64.6
300,70,66.5
310,68,63.9
320,65,61.1
330,70,65.8
340,73,67.9
350,69,64.9
360,69,64.2
370,64,60.8
380,65,62.4
390,65,62.4
400,65,63.7
410,68,66.6
420,72,69.8
430,68,66.0
440,70,67.9
450,75,72.0
460,70,67.2
470,72,69.1
480,71,68.2
490,71,70.3
500,69,68.3
510,67,67.7
520,68,68.0
530,71,72.4
540,71,72.4
550,72,72.7
560,76,76.8
570,74,74.0
580,75,75.8
590,71,71.0
600,69,69.0
610,67,67.0
620,65,65.0
630,60,59.4
640,62,62.0
650,63,63.0
660,66,65.3
670,67,66.3
680,68,67.3
690,68,67.3
700,70,69.3
710,73,71.5
720,72,71.3
730,73,71.5
740,75,73.5
750,72,70.6
760,70,69.3
770,68,67.3
780,70,69.3
790,68,67.3
800,66,65.3
810,63,62.4
820,64,63.4
830,66,65.3
840,64,63.4
850,64,63.4
860,67,66.3
870,70,68.6
880,67,66.3
890,66,65.3
900,66,65.3
910,68,66.6
920,68,67.3
930,69,68.3
940,71,70.3
950,68,67.3
960,66,65.3
970,69,68.3
980,68,66.6
990,66,64.7
1000,63,62.4
1010,61,60.4
1020,53,52.5
1030,44,43.6
1040,37,36.6
1050,31,30.7
1060,23,22.8
1070,20,19.8
1080,17,16.8
1090,15,14.8
1100,14,13.9
1110,7,6.9
1120,6,5.9
1130,4,4.0
1140,3,3.0
1150,3,3.0
1160,2,2.0
1170,1,1.0
1180,1,1.0
1190,1,1.0
